"Level","Silver","Gold","Exp","Honor","Items"
"1","0","0","0","0","46;3"
"2","0","0","0","0","46;3"
"3","0","0","0","0","46;3"
"4","0","0","0","0","46;3"
"5","0","0","0","0","46;3"
"6","0","0","0","0","46;3"
"7","0","0","0","0","46;3"
"8","0","0","0","0","46;3"
"9","0","0","0","0","46;3"
"10","0","0","0","0","46;3"
"11","0","0","0","0","46;3"
"12","0","0","0","0","46;3"
"13","0","0","0","0","46;3"
"14","0","0","0","0","46;3"
"15","0","0","0","0","46;3"
"16","0","0","0","0","46;3"
"17","0","0","0","0","46;3"
"18","0","0","0","0","46;3"
"19","0","0","0","0","46;3"
"20","0","0","0","0","46;3"
"21","0","0","0","0","46;3"
"22","0","0","0","0","46;3"
"23","0","0","0","0","46;3"
"24","0","0","0","0","46;3"
"25","0","0","0","0","46;3"
"26","0","0","0","0","46;3"
"27","0","0","0","0","46;3"
"28","0","0","0","0","46;3"
"29","0","0","0","0","46;3"
"30","0","0","0","0","46;3"
"31","0","0","0","0","46;3"
"32","0","0","0","0","46;3"
"33","0","0","0","0","46;3"
"34","0","0","0","0","46;3"
"35","0","0","0","0","46;3"
"36","0","0","0","0","46;3"
"37","0","0","0","0","46;3"
"38","0","0","0","0","46;3"
"39","0","0","0","0","46;3"
"40","0","0","0","0","46;3"
"41","0","0","0","0","46;3"
"42","0","0","0","0","46;3"
"43","0","0","0","0","46;3"
"44","0","0","0","0","46;3"
"45","0","0","0","0","46;3"
"46","0","0","0","0","46;3"
"47","0","0","0","0","46;3"
"48","0","0","0","0","46;3"
"49","0","0","0","0","46;3"
"50","0","0","0","0","46;3"
