"Level","Silver","Gold","Exp","Honor","Items"
"1","100","0","0","0","0"
"2","200","0","0","0","0"
"3","300","0","0","0","0"
"4","400","0","0","0","0"
"5","500","0","0","0","0"
"6","600","0","0","0","0"
"7","700","0","0","0","0"
"8","800","0","0","0","0"
"9","900","0","0","0","0"
"10","1000","0","0","0","0"
"11","2200","0","0","0","0"
"12","2400","0","0","0","0"
"13","2600","0","0","0","0"
"14","2800","0","0","0","0"
"15","3000","0","0","0","0"
"16","3200","0","0","0","0"
"17","3400","0","0","0","0"
"18","3600","0","0","0","0"
"19","3800","0","0","0","0"
"20","4000","0","0","0","0"
"21","6300","0","0","0","0"
"22","6600","0","0","0","0"
"23","6900","0","0","0","0"
"24","7200","0","0","0","0"
"25","7500","0","0","0","0"
"26","7800","0","0","0","0"
"27","8100","0","0","0","0"
"28","8400","0","0","0","0"
"29","8700","0","0","0","0"
"30","9000","0","0","0","0"
"31","12400","0","0","0","0"
"32","12800","0","0","0","0"
"33","13200","0","0","0","0"
"34","13600","0","0","0","0"
"35","14000","0","0","0","0"
"36","14400","0","0","0","0"
"37","14800","0","0","0","0"
"38","15200","0","0","0","0"
"39","15600","0","0","0","0"
"40","16000","0","0","0","0"
"41","20500","0","0","0","0"
"42","21000","0","0","0","0"
"43","21500","0","0","0","0"
"44","22000","0","0","0","0"
"45","22500","0","0","0","0"
"46","23000","0","0","0","0"
"47","23500","0","0","0","0"
"48","24000","0","0","0","0"
"49","24500","0","0","0","0"
"50","25000","0","0","0","0"
