"Level","Silver","Gold","Exp","Honor","Items"
"1","0","0","0","0","49;1"
"2","0","0","0","0","49;1"
"3","0","0","0","0","49;1"
"4","0","0","0","0","49;1"
"5","0","0","0","0","49;2"
"6","0","0","0","0","49;2"
"7","0","0","0","0","49;2"
"8","0","0","0","0","49;2"
"9","0","0","0","0","50;1"
"10","0","0","0","0","50;1"
"11","0","0","0","0","50;1"
"12","0","0","0","0","50;1"
"13","0","0","0","0","50;2"
"14","0","0","0","0","50;2"
"15","0","0","0","0","50;2"
"16","0","0","0","0","50;2"
"17","0","0","0","0","50;2"
"18","0","0","0","0","50;3"
"19","0","0","0","0","50;3"
"20","0","0","0","0","50;3"
"21","0","0","0","0","50;3"
"22","0","0","0","0","51;1"
"23","0","0","0","0","51;1"
"24","0","0","0","0","51;1"
"25","0","0","0","0","51;1"
"26","0","0","0","0","51;1"
"27","0","0","0","0","51;1"
"28","0","0","0","0","51;1"
"29","0","0","0","0","51;1"
"30","0","0","0","0","51;1"
"31","0","0","0","0","51;2"
"32","0","0","0","0","51;2"
"33","0","0","0","0","51;2"
"34","0","0","0","0","51;2"
"35","0","0","0","0","51;2"
"36","0","0","0","0","51;2"
"37","0","0","0","0","51;2"
"38","0","0","0","0","51;2"
"39","0","0","0","0","51;2"
"40","0","0","0","0","51;2"
"41","0","0","0","0","51;3"
"42","0","0","0","0","51;3"
"43","0","0","0","0","51;3"
"44","0","0","0","0","51;3"
"45","0","0","0","0","51;3"
"46","0","0","0","0","51;3"
"47","0","0","0","0","51;3"
"48","0","0","0","0","51;3"
"49","0","0","0","0","51;3"
"50","0","0","0","0","51;3"
