"Level","Silver","Gold","Exp","Honor","Items"
"1","0","20","0","0","32;30"
"2","0","20","0","0","32;30"
"3","0","20","0","0","32;30"
"4","0","20","0","0","32;30"
"5","0","20","0","0","32;30"
"6","0","20","0","0","32;30"
"7","0","20","0","0","32;30"
"8","0","20","0","0","32;30"
"9","0","20","0","0","32;30"
"10","0","20","0","0","32;30"
"11","0","20","0","0","32;30"
"12","0","20","0","0","32;30"
"13","0","20","0","0","32;30"
"14","0","20","0","0","32;30"
"15","0","20","0","0","32;30"
"16","0","20","0","0","32;30"
"17","0","20","0","0","32;30"
"18","0","20","0","0","32;30"
"19","0","20","0","0","32;30"
"20","0","20","0","0","32;30"
"21","0","20","0","0","32;30"
"22","0","20","0","0","32;30"
"23","0","20","0","0","32;30"
"24","0","20","0","0","32;30"
"25","0","20","0","0","32;30"
"26","0","20","0","0","32;30"
"27","0","20","0","0","32;30"
"28","0","20","0","0","32;30"
"29","0","20","0","0","32;30"
"30","0","20","0","0","32;30"
"31","0","20","0","0","32;30"
"32","0","20","0","0","32;30"
"33","0","20","0","0","32;30"
"34","0","20","0","0","32;30"
"35","0","20","0","0","32;30"
"36","0","20","0","0","32;30"
"37","0","20","0","0","32;30"
"38","0","20","0","0","32;30"
"39","0","20","0","0","32;30"
"40","0","20","0","0","32;30"
"41","0","20","0","0","32;30"
"42","0","20","0","0","32;30"
"43","0","20","0","0","32;30"
"44","0","20","0","0","32;30"
"45","0","20","0","0","32;30"
"46","0","20","0","0","32;30"
"47","0","20","0","0","32;30"
"48","0","20","0","0","32;30"
"49","0","20","0","0","32;30"
"50","0","20","0","0","32;30"
